"Taxon","Status","Stem","Leaf","Fruit","Ecology","Elevation","Bioregional Distribution","Flowering Time","eFlora Treatment Author","url","Distribution Outside California","Note","Synonyms","Inflorescence","Flower","Reference","Toxicity","Habit","Chromosomes","Staminate Flower","Pistillate Flower","Seed"
"Salix eastwoodiae","NATIVE"," twigs yellow-green or red-brown, glaucous or not, shaggy-hairy, glabrous in age. "," stipules leaf-like, early-deciduous or not; petiole 1--14 mm; young leaves hairy; mature blade 23--99 mm, narrowly oblong to elliptic, short-acuminate to convex (base rounded to subcordate), entire to finely short-slender-serrate, abaxially generally densely woolly-tomentose or hairs long-soft-shaggy or short-silky, wavy, to +- 0. ",NA," Alpine, subalpine meadows, streams, talus; "," 1600--3800 m. "," KR, NCoR, CaRH, SNH, MP, W&I; "," May--Jul "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42769"," to western Canada, Montana, Wyoming, New Mexico. ",NA,NA," blooming with leaves, pistillate 11--51 mm, on leafy shoots 2--12 mm; margin of shoot leaves generally finely short-slender-serrate (or entire or gland-dotted); flower bract brown or black. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 4 m. "," 2n=76."," stamens 2. "," ovary glabrous or generally silky, stalk 0.2--1.6 mm, style 0.5--1.5 mm. ",NA
"Salix exigua","NATIVE"," twigs yellow- to red-brown. "," later stipules leaf-like; petiole 1--7 mm; mature blade 30--147 mm, linear or strap-shaped, acuminate (base wedge-shaped), entire or +- sparsely short-slender-serrate. ",NA,NA,NA,NA,NA," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42782",NA,NA,NA," blooming with or after leaves, branched or not, pistillate 22--70 mm, on leafy shoots 2--70 (400) mm; flower bract +- tan; pistillate bracts deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub or tree < 5 m, clonal by root-shoots. ",NA," stamens 2; nectaries adaxial, abaxial. "," ovary stalk 0.2--0.9 mm, stigma deciduous. ",NA
"Salix exigua var. exigua","NATIVE",NA," petiole densely short-soft-spreading-hairy; mature blade abaxial hairs generally densely long-soft-fine-silky, straight or wavy. "," 4--8 mm. "," Common. Shores, bars, silt, sand, gravel; "," < 2800 m. "," SN, MP, D; "," Mar--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76039"," to British Columbia, Saskatchewan, South Dakota, Texas, Mexico. "," Hybridizes with Salix exigua var. hindsiana, Salix sessilifolia (latter except from California since TJM (1993)). "," Salix exigua var. nevadensis (S. Watson) C.K. Schneid.; Salix exigua var. stenophylla (Rydb.) C.K. Schneid.; ",NA,NA," Argus 1997 Madroño 44:115--136Unabridged ",NA,NA," 2n=38.",NA," stigmas flat or wide-cylindric, 0.25--0.5 mm. ",NA
"Salix exigua var. hindsiana","NATIVE",NA," petiole puberulent, long-soft-wavy-hairy or -silky; mature blade abaxial hairs generally densely long-soft-fine-silky, straight, to 0. "," 3--4.5 mm. "," Common. Floodplains, sandy gravel; "," < 640 m. "," NW, GV, CW, SW; "," Apr--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81242"," southwestern Oregon. "," Hybridizes with Salix exigua var. exigua. "," Salix hindsiana Benth.; Salix hindsiana var. leucodendroides (Rowlee) C.R. Ball; Salix hindsiana var. parishiana (Rowlee) C.R. Ball; Salix macrostachya Nutt. var. leucodendroides Rowlee; ",NA,NA," Argus 1997 Madroño 44:115--136Unabridged ",NA,NA,NA,NA," stigmas flat or slender-cylindrical, 0.3--1 mm. ",NA
"Salix geyeriana","NATIVE"," twigs +- yellow or yellow- or red-brown, generally glaucous, tomentose or velvety, brittle at base or not. "," stipules 0 or vestigial; petiole 2--9 mm; young leaves silky; mature blade 32--89 mm, strap-shaped to linear, acuminate (base wedge-shaped), entire, flat to +- rolled under, abaxial hairs generally dense, short- or long-silky, white or white and rusty, straight, to 0. ",NA," Subalpine streams, meadows; "," 1450--3600 m. "," s CaRH, n&c SNH, s SNH (esp Kern Plateau), SnBr, GB; "," Apr--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42803"," to British Columbia, Montana, New Mexico. "," Rare hybrids with Salix lemmonii, Salix drummondiana in Sierra, Lassen cos. "," Salix geyeriana var. argentea (Bebb) C.K. Schneid.; "," blooming just before or with leaves, pistillate 8--21 mm, +- spheric, on leafy shoots 0--8 mm; flower bract +- tan to brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 5 m. "," 2n=38."," stamens 2. "," ovary white- or white-and-rusty-silky, stalk 1--2.8 mm, style 0.1--0.2 mm. ",NA
"Salix gooddingii","NATIVE"," twigs +- yellow or yellow-green or red-brown, velvety or soft-shaggy-hairy, glabrous in age, brittle at base or not; bud scale margins free, overlapping. "," stipules generally leaf-like; petiole 4--10 mm, generally with glands; young leaves white-hairy; mature blade 67--130 mm, linear to narrowly elliptic, acuminate (base wedge-shaped), finely serrate, abaxial hairs generally minute, spreading, wavy, to 0. ",NA," Common. Streamsides, marshes, seepage areas, washes, meadows; "," 20--2500 (generally < 500) m. "," NCoRI, CaRF, SNF, GV, SCo, PR, GB, D (esp GV, D); "," Mar--Apr "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42825"," to Texas, Mexico. ",NA," Salix gooddingii var. variabilis C.R. Ball; "," blooming with leaves, pistillate 23--82 mm, on leafy shoots 2--48 mm (margins of shoot-leaves finely serrate); flower bract +- tan; pistillate bracts deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub or tree < 30 m. "," 2n=38."," stamens 4--6; nectaries adaxial, abaxial. "," ovary glabrous or hairy, stalk 1.2--3.2 mm, style 0.1--0.3 mm. ",NA
"Salix hookeriana","NATIVE"," twigs gray-, red-, or yellow-brown, generally thinly glaucous, glabrous, long-soft hairy, tomentose, or woolly, brittle at base. "," later stipules leaf-like; petiole (4)6--29 mm; young leaves white- or white-and-rusty-hairy; mature blade 46--113 mm, elliptic to oblanceolate or broadly obovate, entire, coarsely crenate, or finely serrate, convex to acuminate (base convex to cordate), abaxially generally +- densely tomentose or woolly or hairs long-soft-shaggy or -fine, white or white and rusty, wavy or straight, to +- 0 (except midrib). ",NA," Coastal dunes, floodplains, meadows; "," < 100, 500--1000 m. "," NCo, n NCoRO, CaRF, n CCo (Sonoma Co.); "," Apr--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42833"," to Alaska. "," Glabrous and densely tomentose plants intergrade, may occur together (glabrous plants at 500--1000 m in Humboldt Co. need study). May hybridize with Salix lasiolepis, Salix scouleriana. "," Salix piperi Bebb; "," blooming before leaves, pistillate 36--117 mm, on leafy shoots 0--10(35) mm; flower bract dark brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub, small tree, < 8 m. "," 2n=57, 114."," stamens 2. "," ovary glabrous, woolly, or tomentose, stalk 1--2 mm, style 0.6--1.5(2.3) mm. ",NA
"Salix jepsonii","NATIVE"," twigs gray- or red-brown, velvety or silky, brittle at base. "," stipules leaf-like; petiole 4--12 mm; young leaves silky; mature blade 55--103 mm, oblanceolate or narrowly so, acute or convex, (base convex to wedge-shaped), entire, rarely minute-crenate or -serrate, abaxial hairs generally densely short-silky, straight. ",NA," Margins of lakes and streams, wet meadows; "," 1000--3400 m. "," KR, CaRH, SNH; "," Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42849"," Oregon, Nevada. "," Like Salix sitchensis but smaller, leaves narrower (variable), stamens 2 vs 1 (variable), ovary narrower. "," Salix sitchensis Bong var. angustifolia Bebb; Salix sitchensis var. ralphiana (Jeps.) Jeps.; "," blooming with leaves, pistillate 13--55 mm, on leafy shoots 1.5--7 mm; flower bract +- brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub 1--3 m. ",NA," stamens 1, rarely 2. "," ovary short-silky, stalk 0.4--1.2 mm, style 0.4--0.6 mm. ",NA
"Salix laevigata","NATIVE"," twigs yellow- or red-brown, hairy, glabrous in age generally except at nodes, brittle at base; bud scale margins free, overlapping. "," stipules generally leaf-like; petiole 3.5--18 mm, generally with glands; young leaves glabrous or white- or white-and-rusty-hairy; mature blade 53--190 mm, strap-shaped to lanceolate or obovate, acuminate to caudate (base convex to wedge-shaped), +- finely crenate, abaxial hairs generally densely short-soft-spreading, white or white and rusty, to 0. ",NA," Common. Riverbanks, seepage areas, lakeshores (subalkaline or brackish), canyons; "," < 1700 m. "," CA (exc MP, DSon); "," Dec--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42850"," southern Oregon, northern Nevada, Arizona, Mexico, northern Central America. ",NA," Salix bonplandiana Kunth var. laevigata (Bebb) Dorn; Salix laevigata var. congesta Bebb ex Rothr.; Salix laevigata f. araquipa Jeps.; "," blooming with or after leaves, pistillate 28--79 mm, on leafy shoots 3--14 mm (shoot leaves entire); flower bract +- tan; pistillate bracts deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Tree < +- 20 m. "," 2n=38."," stamens 5; nectaries adaxial, abaxial. "," ovary glabrous, stalk 1.4--2.8 mm, style 0.12--0.24 mm. ",NA
"Salix lasiandra","NATIVE"," twigs yellow-, gray-, or red-brown, glabrous or soft-shaggy-hairy, brittle at base or not. "," stipules leaf-like, glandular; petiole with glands; young leaves glabrous or white- or white-and-rusty-hairy; mature blade 53--170 mm, lanceolate, acuminate to long-acuminate (base convex to rounded), finely serrate. ",NA,NA,NA,NA,NA," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42872",NA,NA,NA," blooming with leaves, pistillate 18.5--103 mm, on leafy shoots 6--56 mm; flower bract +- tan; pistillate bracts deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub to tree, 1--11 m. ",NA," stamens 3--5; nectaries adaxial, abaxial. "," ovary glabrous, stalk 0.8--4 mm, style 0.2--0.8 mm; nectary adaxial. ",NA
"Salix lasiandra var. caudata","NATIVE",NA," petiole (1)4--15 mm, with pair or cluster of +- leaf-like glands; mature blade sparsely long-soft-shaggy, hairs white or white and rusty, straight or curved, to +- 0. ",NA," Wet meadows, lakeshores, riverbanks; "," 35--3050 m. "," SNH, SnBr, GB; "," May--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=65746"," to Alaska, South Dakota, New Mexico. ",NA," Salix lucida Muhl. subsp. caudata (Nutt.) E. Murray; Salix caudata (Nutt.) A. Heller var. bryantiana C.R. Ball & N.F. Bracelin; ",NA,NA," Argus 1997 Madroño 44:115--136Unabridged ",NA,NA," 2n=76.",NA,NA,NA
"Salix lasiandra var. lasiandra","NATIVE",NA," petiole (2)4--30 mm, with cluster of spheric or +- leaf-like glands; mature blade hairs white or white and rusty, straight or wavy, to 0. ",NA," Common. Wet meadows, shores, seepage areas; "," < 2715 m. "," CA (less common s CA, D); "," Mar--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76043"," to Alaska, New Mexico. ",NA," Salix lasiandra var. abramsii C.R. Ball; Salix lasiandra var. lancifolia (Andersson) Bebb; Salix lasiandra var. macrophylla (Andersson) Little; Salix lucida Muhl. subsp. lasiandra (Benth.) E. Murray; ",NA,NA," Argus 1997 Madroño 44:115--136Unabridged ",NA,NA," 2n=76.",NA,NA,NA
"Salix lasiolepis","NATIVE"," twigs +- yellow, yellow-green, or yellow- or red-brown, glabrous, densely short-soft-spreading-hairy, or tomentose, generally brittle at base. "," later stipules generally leaf-like; petiole 3--16 mm, tomentose to velvety; young leaves white- or white-and-rusty-hairy; mature blade 35--125 mm, strap-shaped to elliptic or obovate, acute to convex (base wedge-shaped to convex), entire to irregularly serrate, +- to strongly rolled under, abaxially generally +- dense-tomentose or -woolly-tomentose or hairs sparsely short-soft-spreading or short- or long-silky, white or white and rusty, wavy, to +- 0. ",NA," Abundant. Shores, marshes, meadows, springs, bluffs; "," < 2800 m. "," CA; "," Jan--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42855"," to Washington, Idaho, Texas, Mexico. "," Highly variable; several weak varieties described. NCo populations suggest intergradation with Salix hookeriana. "," Salix lasiolepis var. bigelovii (Torr.) Bebb; Salix lasiolepis var. bracelinae C.R. Ball; Salix lasiolepis var. lasiolepis; Salix lasiolepis var. sandbergii (Rydb.) C.R. Ball; Salix lutea Nutt. var. nivaria Jeps.; "," blooming before leaves, pistillate 18--72 mm, on leafy shoots 0--6 mm; flower bract dark brown, with generally wavy hairs, tip broadly rounded. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub, small tree, < 10 m. "," 2n=76."," stamens 2. "," ovary glabrous, stalk 0.5--2.4 mm, style 0.1--0.6 mm. ",NA
"Salix lemmonii","NATIVE"," twigs yellow- to red-brown, strongly glaucous or not, puberulent, brittle at base or not. "," later stipules leaf-like; petiole 5--16 mm; young leaves silky; mature blade 44--110 mm, strap-shaped to narrowly elliptic, acuminate (base convex), entire or finely serrate, abaxial hairs generally sparse, short- or long-silky, white and rusty, straight or wavy, to +- 0. ",NA," Streams, wet meadows, burns in subalpine pine forest; "," 1400--3500 m. "," KR, s NCoRO (Lake Co.), s NCoRI (Sonoma Co.), CaRH, SNH, SnBr, SnJt; "," May--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42864"," to British Columbia, Montana, Colorado (except Utah). "," Like Salix geyeriana. ",NA," blooming just before or with leaves, pistillate 19--44 mm, on leafy shoots 0.5--6 mm; flower bract dark brown to 2-colored. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub 1--4 m. "," 2n=76."," stamens 2. "," ovary silky, stalk 1.1--2.1 mm, style 0.3--1 mm. ",NA
"Salix ligulifolia","NATIVE"," twigs yellow-green or -brown, glabrous or long-shaggy-hairy. "," stipule leaf-like, tip rounded to acuminate; petiole 3--18 mm; young leaves glabrous; mature blade 60--133 mm, strap-shaped to narrowly elliptic, acute to acuminate (base convex to subcordate), margin gland-dotted to finely serrate, abaxial hairs sparsely short-silky or densely short-soft-spreading, straight or wavy, to 0. ",NA," Rivers, streams; "," 1100--2500 m. "," KR, CaRH, SNH, Wrn; "," Mar--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42866"," to Idaho, Wyoming, New Mexico. "," Leaf margins often incorrectly called entire. "," Salix eriocephala Michx. var. ligulifolia (C.R. Ball ex C.K. Schneid.) Dorn; "," blooming just before or with leaves, pistillate 15.5--49 mm, on leafy shoots 0--6 mm; flower bract brown, hairs curly. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 8 m. "," 2n=38."," stamens 2. "," ovary glabrous, stalk 0.9--2.5 mm, style 0.2--0.6 mm. ",NA
"Salix lutea","NATIVE"," twigs yellow-gray or yellow- or gray-brown, glabrous or hairy. "," stipules generally leaf-like; petiole 4--19 mm; young leaves glabrous or silky; mature blade 42--90 mm, strap-shaped to elliptic, lanceolate, or narrowly oblanceolate, acuminate (base convex to rounded), entire to fine-serrate or -crenate, abaxial hairs long-soft-shaggy or sparsely long-silky, straight, to 0. ",NA," River, creek margins, wet meadows; "," 640--3100 m. "," c&s SNH (esp e slope), SnBr, SnJt, GB, w DMoj; "," Mar--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42875"," to Oregon, Montana, Wyoming, Arizona. ",NA," Salix lutea var. watsonii (Bebb) Jeps.; Salix eriocephala var. watsonii (Bebb) Dorn; "," blooming just before or with leaves, pistillate 13--38 mm, on leafy shoots 0.5--7 mm; flower bract brown to +- tan, sparsely curly-hairy. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 7 m. "," 2n=38."," stamens 2. "," ovary glabrous, stalk 0.9--3.8 mm, style 0.13--0.6 mm. ",NA
"Salix melanopsis","NATIVE"," twigs gray-brown, silky, glabrous in age. "," stipules generally leaf-like; petiole 2--5 mm; young leaves long-soft-wavy-hairy, tomentose, or velvety; mature blade 30--85 mm, linear to narrow-elliptic or -oblanceolate, acuminate to convex (base wedge-shaped to convex), entire or finely short-slender-serrate, abaxial hairs long-soft-shaggy or -fine or long-silky, appressed to spreading, wavy, to +- 0. ",NA," Streambanks, often among rocks; "," 620--2700 m. "," NCo, KR, CaR, SN (exc Teh), ScV, MP; "," May--Jul "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42881"," to western Canada, Colorado, Nevada. ",NA," Salix exigua Nutt. subsp. melanopsis (Nutt.) Cronquist; Salix melanopsis var. bolanderiana (Rowlee) C.K. Schneid.; Salix melanopsis var. gracilipes C.R. Ball; Salix parksiana C.R. Ball; "," blooming with or after leaves, branched or not, pistillate 22--58 mm, on leafy shoots 4--70 mm; flower bract +- tan, pistillate deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 4 m, clonal by root-shoots. ",NA," stamens 2; nectaries adaxial, abaxial. "," ovary glabrous, stalk 0--0.7 mm, style 0--0.5 mm, stigmas deciduous. ",NA
"Salix nivalis","NATIVE"," twigs yellow- or red-brown, +- glabrous. "," stipules 0 or vestigial; petiole 1.5--7 mm; young leaves glabrous; mature blade 6--22 mm, +- elliptic to obovate, convex to rounded (base subcordate or not), entire, abaxial hairs long-silky to 0. ",NA," Alpine cirques; "," 3100--3500 m. "," c SNH (near Mount Dana); "," Jun--Aug "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42962"," to western Canada, Colorado, New Mexico. ",NA," Salix reticulata L. subsp. nivalis (Hook.) Á. Löve, D. Löve & B. M. Kapoor; "," blooming with leaves, pistillate 7--21 mm, on leafy shoots 1--10 mm; flower bract +- tan to light rose; pistillate catkin 4--17-flowered. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 0.1 m, mat-forming. "," 2n=38."," stamens 2; nectaries adaxial, abaxial. "," ovary silky, stalk 0--0.8 mm, style 0.2--0.4 mm; nectaries adaxial, abaxial. ",NA
"Salix orestera","NATIVE"," twigs yellow- to red-brown, glaucous or not, silky, glabrous in age. "," stipules generally leaf-like; petiole 4--9 mm; young leaves long-silky; mature blade 35--95 mm, strap-shaped to narrowly elliptic or oblanceolate, acuminate to convex (base wedge-shaped to convex), +- entire, abaxial hairs sparsely to +- densely long- to short-silky, white or white and rusty, straight or wavy. ",NA," Wet alpine, subalpine meadows, streams; "," 1100--4000 m. "," SN, SNE; "," Jun--Jul "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42914"," Oregon, western Nevada, Utah. "," Possibly derived from Salix eastwoodiae × Salix lemmonii (should be studied near Kaiser Pass, northeastern Fresno Co.), but does not hybridize with Salix eastwoodiae where they occur together. ",NA," blooming with leaves, pistillate 20--55 mm, on leafy shoots 2--15 mm (shoot leaves entire or gland-dotted); flower bract brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 2 m. ",NA," stamens 2. "," ovary long-silky, stalk 0.8--2 mm, style 0.6--1 mm. ",NA
"Salix petrophila","NATIVE"," twigs yellow-green or -brown, sparsely soft-shaggy-hairy. "," stipules 0 or vestigial; petiole 2--13 mm; young leaves long-soft-hairy; mature blade 19--44 mm, elliptic to obovate, acuminate to rounded (base wedge-shaped), entire, abaxial hairs long-soft-shaggy, wavy, to +- 0. ",NA," Alpine tundra; "," 1670--4000 m. "," CaRH (Lassen Peak), c&s SNH; "," Jul--Aug "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42690"," to western Canada, Colorado, New Mexico. "," California, southern Rocky Mountains plants treated as part of Salix arctica Pall. in TJM (1993) treated here as a separate sp., Salix petrophila, elsewhere as Salix arctica subsp. petraea. Plants with narrow, sharp-pointed leaves approach Salix cascadensis Cockerell of Washington and northern, need study. "," Salix arctica Pall., misappl.; Salix arctica subsp. petraea (Andersson) Á. Löve, D. Löve, & B.M. Kapoor; "," blooming with leaves, 18--60 mm, on leafy shoots 2--40 mm; flower bract +- tan to dark brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 0.1 m, trailing, rooting. "," 2n=76."," stamens 2; nectaries generally only adaxial. "," ovary silky, stalk 0.2--0.8 mm, style 0.4--1.6 mm. ",NA
"Salix planifolia","NATIVE"," twigs yellow- or red-brown or violet, glabrous or silky. "," stipules generally leaf-like; petiole 2--9(14) mm; young leaves glabrous or white- or white-and-rusty-silky; mature blade 19--75(115) mm, +- elliptic, acuminate to convex (base wedge-shaped to convex), entire to finely serrate, abaxial hairs sparsely silky, white or white and rusty, straight or wavy, to 0. ",NA," Subalpine meadows, streambanks; "," 2500--4000 m. "," SNH, SNE; "," May--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42942"," to northern and eastern North America, New Mexico. ",NA," Salix planifolia subsp. planifolia; Salix phylicifolia L. var. monica (Bebb) Jeps.; "," blooming before leaves, pistillate 15--67 mm, on leafy shoots 0(5) mm; flower bract brown to black. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 1 m. "," 2n=76, 57."," stamens 2. "," ovary white- or white-and-rusty-silky, stalk 0.3--0.8 mm, style 0.5--2 mm. ",NA
"Salix prolixa","NATIVE"," twigs yellow- or red-brown, glabrous or long-shaggy-hairy. "," stipule leaf-like, tip convex to rounded; petiole 6--12 mm; young leaves glabrous or hairy; mature blade 50--150 mm, narrowly oblong or lanceolate to obovate, acuminate (base rounded to cordate), serrate to finely short-slender-serrate, abaxial hairs 0. ",NA," Banks of rivers, streams, marshes; "," 110--2255 m. "," KR, CaRH, n SNH; "," Mar--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42954"," to northern Canada, Wyoming. ",NA," Salix eriocephala Michx. subsp. mackenzieana (Hook.) Dorn; Salix mackenzieana (Hook.) Barratt ex Andersson; Salix cordata Muhl. var. mackenzieana Hook.; "," blooming with leaves, pistillate 19--66 mm, on leafy shoots 0.5--6 mm; flower bract brown, hairs wavy. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 5 m. ",NA," stamens 2. "," ovary glabrous, stalk 1.3--4.2 mm, style 0.3--0.7 mm. ",NA
"Salix purpurea","NATURALIZED"," erect; twigs yellow-, gray-, or olive-brown and tinged violet, glabrous, flexible or +- brittle at base. "," at least some +- opposite; stipules 0; petiole 2--7 mm; young leaves glabrous or sparsely short-soft-spreading-hairy; mature blade 35--77 mm, oblanceolate, acuminate or convex (base convex to rounded), entire to remotely finely serrate, abaxial hairs 0. ",NA," Around settlements; "," probably < 20 m. "," NCo (Ryan's Slough, Humboldt Bay); "," Mar--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42957"," to Canada, southeastern United States; native to Asia. "," Mostly cultivated as ornamental. ",NA," blooming before leaves, +- opposite (at least some), pistillate 13--35 mm, on leafy shoots 0.5--3 mm; flower bract black. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub to tree < 5 m. "," 2n=38."," stamens 1. "," ovary silky, stalk 0--0.1 mm, style 0.15--0.3 mm, stigma flat. ",NA
"Salix scouleriana","NATIVE"," twigs yellow-green or -brown, twigs sparsely hairy to densely velvety. "," stipules generally leaf-like; petiole 2--13 mm, generally velvety; young leaves hairy; mature blade 29--100 mm, obovate or oblanceolate to narrowly elliptic, acuminate (base wedge-shaped or convex), entire or crenate, generally strongly rolled under, abaxial hairs sparse to dense, short- or long-silky or woolly, white or white and rusty, wavy or straight. ",NA," Common. Dry to moist forest, meadows, springs, swamps; "," 1--3400 m. "," NW, CaR, SN, n CCo, SnFrB, SnGb, SnBr, SnJt, GB; "," Feb--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42973"," to Alaska, Saskatchewan, New Mexico, northern Mexico. "," Hybrids suspected with Salix hookeriana. "," Salix scouleriana Barratt ex Hook. var. coetanea C.R. Ball; "," blooming before leaves, pistillate 18--60 mm, on leafy shoots 0(8) mm; flower bract dark brown or 2-colored. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub, slender tree, < 10 m. "," 2n=76."," stamens 2. "," ovary silky, stalk 0.8--2.3 mm, style 0.2--0.6 mm. ",NA
"Salix sitchensis","NATIVE"," twigs yellow-, gray-, or red-brown, silky or long-soft-wavy-hairy, flexible or +- brittle at base. "," later stipules leaf-like; petiole 3--13(16) mm; young leaves abaxially densely silky or woolly, adaxially sparsely-silky tomentose; mature blade 31--120 mm, oblanceolate to obovate, acuminate or convex (base wedge-shaped), generally entire, strongly rolled under, especially basally, abaxial hairs dense, short- or long-silky, tomentose, woolly, or silky-woolly, straight, wavy, or curved. ",NA," Common. Tidal swamps, marshes, springs, streambeds; "," < 400 m (1800--2500 m in Siskiyou, Humboldt cos.). "," NW, n SNH, CW (exc SCoRI), w WTR; "," Mar "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42994"," to Alaska, Alberta. ",NA," Salix coulteri Andersson; "," blooming just before or with leaves, pistillate 25--73 mm, on leafy shoots (0)1--20 mm; flower bract +- tan or brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub, small tree, < 8 m. "," 2n=38."," stamen 1. "," ovary silky, ovoid to pear-shaped, stalk 0.4--1.4 mm, style 0.4--0.8 mm. ",NA
"Salix tracyi","NATIVE"," twigs yellow- to red-brown, weakly glaucous, glabrous or sparsely to +- densely velvety or tomentose. "," later stipules leaf-like; petiole 5--11 mm, adaxially tomentose to velvety; young leaves white- or white-and-rusty-hairy; mature blade 55--96 mm, strap-shaped, oblanceolate, or elliptic, acute to acuminate (base convex or +- decurrent), entire, wavy, or minutely serrate, +- rolled under, abaxially glabrous to +- densely tomentose, hairs white or white-and-rusty, straight or curved. ",NA," Shores, floodplains of rivers, creeks; sandy, gravelly, rocky, often serpentine; "," 90--460 m. "," NCo; "," Apr--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42862"," Oregon. ",NA,NA," blooming just before or with leaves, pistillate 17--42 mm, on leafy shoots 1.5--3 mm; flower bract brown or brown with paler base, with straight or wavy hairs, tip rounded to truncate. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub 1--6 m; leaves, twigs +- glabrous in age. ",NA," stamens 2. "," ovary glabrous, stalk 1--1.7(2.4) mm, style 0.12--0.6 mm. ",NA
"Aesculus californica","NATIVE",NA," leaflets 5--7, 6--17 cm, lance-oblong, finely serrate, acute to acuminate; petiole 1--12 cm. "," generally 1 at inflorescence tip, occasionally 2--9, 5--8 cm diam. "," Dry slopes, canyons, borders of streams; "," < 1700 m. "," c&s NW, s CaR, SNF, n&c SNH, Teh, GV (scattered near foothills), n&c CW, WTR, sw DMoj; "," May--Jun(Aug) "," William J. StoneJepson Online InterchangeList of species Aesculus californicaPrevious taxonAesculusNext taxon: Sarcobataceae
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=12026"," southwestern Oregon. "," Generally deciduous Jun--Feb. ",NA," panicle-like, erect, 1--2 dm, finely hairy; pedicel 3--10 mm. "," calyx 5--8 mm, 2-lobed; petals 12--18 mm, white to pale rose; stamens 5--7, 18--30 mm, exserted, anthers orange. ",NA," All parts TOXIC. Native Americans used ground seed as fish poison; nectar and pollen TOXIC to honeybees. "," Plant 4--12 m, broad, rounded. "," 2n=40.",NA,NA," generally 1, 2--5 cm, glossy brown. "
